Timestamp,Cycle,Countdown Type,LSL Data
1970-01-03 02:37:52.692151,3,Fourth Countdown,"[11.0, -5.0, -6.0, -2.0, -5.0, 11.0, -4.0, -26.0]"
1970-01-03 02:37:53.704207,3,Fourth Countdown,"[20.0, 56.0, 2.0, 12.0, 44.0, 30.0, 12.333333015441895, 29.0]"
1970-01-03 02:37:54.674643,3,Fourth Countdown,"[-15.0, -46.0, 38.0, -5.0, 22.0, 10.0, 6.166666507720947, 13.833333015441895]"
1970-01-03 02:37:55.693460,3,Fourth Countdown,"[-50.0, -25.0, 2.0, -52.0, -36.0, -38.0, -26.66666603088379, -46.66666793823242]"
1970-01-03 02:37:56.690942,3,Fourth Countdown,"[49.0, 44.0, 5.0, 22.0, 35.0, 34.0, 37.66666793823242, 45.16666793823242]"
1970-01-03 02:38:19.772085,3,Fifth Countdown,"[32.0, 73.0, 25.0, 18.0, 1.0, 21.0, 28.5, 18.66666603088379]"
1970-01-03 02:38:20.764014,3,Fifth Countdown,"[85.0, 83.0, 25.0, 57.0, 66.0, 63.0, 47.16666793823242, 73.5]"
1970-01-03 02:38:21.755041,3,Fifth Countdown,"[7.0, -69.0, 2.0, 15.0, 4.0, 12.0, 33.33333206176758, 34.0]"
1970-01-03 02:38:22.770513,3,Fifth Countdown,"[-7.0, 7.0, -22.0, 2.0, -7.0, 23.0, -20.66666603088379, -3.3333332538604736]"
1970-01-03 02:38:23.760048,3,Fifth Countdown,"[-21.0, -31.0, 27.0, -46.0, -45.0, 8.0, 12.0, 11.0]"
1970-01-03 02:38:25.766946,4,First Countdown,"[-6.0, 55.0, 2.0, 40.0, 94.0, 50.0, 15.5, 10.166666984558105]"
1970-01-03 02:38:26.770906,4,First Countdown,"[6.0, 25.0, 13.0, 38.0, 1.0, -3.0, 18.33333396911621, 9.0]"
1970-01-03 02:38:27.758121,4,First Countdown,"[-10.0, -3.0, 27.0, -8.0, -27.0, -10.0, -3.5, 10.333333015441895]"
1970-01-03 02:38:28.788556,4,First Countdown,"[-21.0, -50.0, 30.0, 45.0, 59.0, 63.0, -24.83333396911621, -24.0]"
1970-01-03 02:38:29.772186,4,First Countdown,"[-1.0, -31.0, -8.0, -11.0, 39.0, 7.0, -1.1666666269302368, 18.33333396911621]"
1970-01-03 02:38:30.784054,4,First Countdown,"[-17.0, 21.0, 23.0, -9.0, -19.0, -25.0, -19.5, -7.5]"
1970-01-03 02:38:31.765195,4,First Countdown,"[65.0, 107.0, 18.0, 52.0, 11.0, -1.0, 60.66666793823242, 62.66666793823242]"
1970-01-03 02:38:32.767197,4,First Countdown,"[-4.0, -3.0, 22.0, 1.0, -20.0, -8.0, 6.666666507720947, 0.1666666716337204]"
1970-01-03 02:38:33.779237,4,First Countdown,"[-21.0, -26.0, -58.0, -75.0, -87.0, -63.0, -67.5, -45.66666793823242]"
1970-01-03 02:38:34.766928,4,First Countdown,"[22.0, 16.0, -15.0, -3.0, 41.0, -29.0, -1.6666666269302368, 12.5]"
1970-01-03 02:38:18.567606,4,First Countdown,"[22.0, 22.0, -43.0, -19.0, -5.0, 3.0, 18.66666603088379, 27.5]"
1970-01-03 02:38:19.581541,4,First Countdown,"[31.0, 66.0, 66.0, 35.0, 60.0, 69.0, 60.16666793823242, 29.33333396911621]"
1970-01-03 02:38:20.583596,4,First Countdown,"[-30.0, 20.0, -31.0, 103.0, 76.0, 19.0, 12.166666984558105, 15.166666984558105]"
1970-01-03 02:38:21.578891,4,First Countdown,"[-38.0, -31.0, -14.0, -1.0, -61.0, -1.0, -8.5, 8.333333015441895]"
1970-01-03 02:38:22.574549,4,First Countdown,"[62.0, 17.0, -8.0, 29.0, 73.0, 24.0, 27.83333396911621, 27.66666603088379]"
1970-01-03 02:38:23.600046,4,First Countdown,"[-16.0, -10.0, -18.0, -31.0, 7.0, 13.0, 4.333333492279053, 7.333333492279053]"
1970-01-03 02:38:24.574500,4,First Countdown,"[-27.0, 4.0, -16.0, -33.0, -20.0, -23.0, -38.66666793823242, -20.83333396911621]"
1970-01-03 02:38:25.585875,4,First Countdown,"[64.0, 70.0, 6.0, 45.0, 38.0, 10.0, 31.33333396911621, 45.5]"
1970-01-03 02:38:26.582556,4,First Countdown,"[21.0, 62.0, 11.0, 88.0, 70.0, 69.0, 41.83333206176758, 62.83333206176758]"
1970-01-03 02:38:27.593267,4,First Countdown,"[-14.0, -52.0, 16.0, -53.0, -42.0, -31.0, -27.33333396911621, -14.833333015441895]"
1970-01-03 02:38:30.372509,4,Second Countdown,"[-112.0, -32.0, -7.0, -87.0, -89.0, -82.0, -79.0, -71.16666412353516]"
1970-01-03 02:38:31.373243,4,Second Countdown,"[19.0, 7.0, 22.0, 14.0, 25.0, 7.0, 9.833333015441895, 3.3333332538604736]"
1970-01-03 02:38:32.377037,4,Second Countdown,"[47.0, 50.0, 48.0, 31.0, 40.0, 30.0, 60.16666793823242, 53.16666793823242]"
1970-01-03 02:38:33.363747,4,Second Countdown,"[-13.0, 3.0, 35.0, 2.0, -3.0, 25.0, 4.166666507720947, 0.5]"
1970-01-03 02:38:34.377331,4,Second Countdown,"[-51.0, -48.0, -36.0, -60.0, -48.0, -46.0, -46.5, -25.5]"
1970-01-03 02:38:36.986893,4,Third Countdown,"[96.0, 29.0, 12.0, 53.0, 49.0, 45.0, 46.0, 22.16666603088379]"
1970-01-03 02:38:37.995989,4,Third Countdown,"[20.0, -5.0, 41.0, 11.0, -7.0, -5.0, 6.833333492279053, 19.83333396911621]"
1970-01-03 02:38:38.994588,4,Third Countdown,"[39.0, 2.0, 36.0, 3.0, 7.0, -16.0, 9.5, 22.33333396911621]"
1970-01-03 02:38:39.996494,4,Third Countdown,"[-30.0, -44.0, 7.0, -62.0, -44.0, -47.0, -34.66666793823242, -34.83333206176758]"
1970-01-03 02:38:40.986248,4,Third Countdown,"[21.0, 56.0, -14.0, 54.0, 19.0, 7.0, 37.66666793823242, 22.66666603088379]"
1970-01-03 02:38:43.930344,4,Fourth Countdown,"[10.0, -2.0, 34.0, 37.0, 58.0, 41.0, 26.66666603088379, 30.16666603088379]"
1970-01-03 02:38:44.918654,4,Fourth Countdown,"[73.0, -14.0, -3.0, -25.0, -20.0, 27.0, 32.83333206176758, 50.0]"
1970-01-03 02:38:45.925142,4,Fourth Countdown,"[-39.0, 7.0, 0.0, -40.0, 20.0, 2.0, 6.5, 4.833333492279053]"
1970-01-03 02:38:46.934138,4,Fourth Countdown,"[-57.0, -30.0, -5.0, -27.0, -15.0, -51.0, -37.83333206176758, -33.66666793823242]"
1970-01-03 02:38:47.934300,4,Fourth Countdown,"[49.0, 71.0, 23.0, 60.0, 13.0, 44.0, 35.16666793823242, 35.83333206176758]"
1970-01-03 02:38:49.483506,4,Fifth Countdown,"[8.0, -41.0, -11.0, 37.0, 32.0, 7.0, -0.3333333432674408, 10.166666984558105]"
1970-01-03 02:38:50.492795,4,Fifth Countdown,"[-59.0, -30.0, 22.0, -18.0, -37.0, -15.0, -1.6666666269302368, -7.833333492279053]"
1970-01-03 02:38:51.474679,4,Fifth Countdown,"[83.0, 56.0, 4.0, 67.0, 58.0, 45.0, 19.0, 31.5]"
1970-01-03 02:38:52.488792,4,Fifth Countdown,"[22.0, -21.0, -33.0, -88.0, -86.0, 62.0, 77.16666412353516, 63.16666793823242]"
1970-01-03 02:38:53.482287,4,Fifth Countdown,"[-39.0, -21.0, 16.0, -3.0, -20.0, 5.0, -9.333333015441895, -24.0]"
1970-01-03 02:38:55.481570,5,First Countdown,"[-43.0, 2.0, -1.0, 16.0, -10.0, 55.0, 24.0, 8.166666984558105]"
1970-01-03 02:38:56.483290,5,First Countdown,"[-109.0, -21.0, 22.0, -40.0, -24.0, -80.0, -87.83333587646484, -85.5]"
